stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13903.02,20563.56,19715.56,848.00
stage-1,13803.23,16034.57,15394.57,640.00
stage-2,13879.84,12065.72,11457.72,608.00
stage-3,14516.31,9864.76,9216.76,648.00
