stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13785.13,20531.56,19715.56,816.00
stage-1,13692.49,16034.57,15394.57,640.00
stage-2,13757.40,12065.72,11457.72,608.00
stage-3,14420.81,9864.76,9216.76,648.00
