stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,25347.34,24763.95,23683.95,1080.00
stage-1,28132.60,23603.70,23003.70,600.00
stage-2,28132.60,21003.17,20403.17,600.00
stage-3,28132.60,18402.64,17802.64,600.00
stage-4,30927.60,18302.37,17602.37,700.00
stage-5,31816.78,14371.78,13721.78,650.00
stage-6,30927.60,12301.19,11601.19,700.00
stage-7,32334.09,9900.56,9200.56,700.00
