stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28038.52,26163.91,25083.91,1080.00
stage-1,31712.96,22893.57,22243.57,650.00
stage-2,30823.78,21302.97,20602.97,700.00
stage-3,31712.96,17212.38,16562.38,650.00
stage-4,31586.62,20041.78,18741.78,1300.00
stage-5,28028.79,10601.06,10001.06,600.00
stage-6,25751.10,7910.43,7360.43,550.00
