search_time (s),config time (ms)
0,32681.022689623736
1,25934.053295623733
2,23936.853969200696
3,16785.479353149985
4,15266.491608339444
5,14963.87010005203
6,14934.794286187738
15,14934.794286187738
21,14934.794286187738
27,14934.794286187738
32,14934.794286187738
39,14963.87010005203
44,15132.35911472025
45,15132.35911472025
46,15132.35911472025
51,15132.608960339445
56,15132.608960339445
57,15132.608960339445
58,15132.608960339445
59,15132.608960339445
65,15132.608960339445
75,15258.59029599404
83,15258.59029599404
84,15258.71861499404
90,15258.71861499404
95,15258.59029599404
103,15258.59029599404
104,15258.968460613236
111,15258.968460613236
116,15258.968460613236
122,15262.26566299404
125,15262.265662994041
126,15262.265662994041
127,15262.265662994041
128,15262.265662994041
129,15262.265662994041
131,15262.265662994041
135,15262.39398199404
138,15262.438076720247
141,15262.515508613236
144,15262.515508613236
149,15262.39398199404
152,15262.566395720249
157,15262.566395720249
158,15262.566395720249
162,15262.566395720249
163,15262.566395720249
164,15262.566395720249
165,15262.566395720249
166,15262.566395720249
167,15262.566395720249
170,15262.643827613236
171,15262.643827613236
175,15262.816241339444
179,15262.816241339444
183,15262.816241339444
184,15262.816241339444
188,15262.816241339444
189,15262.816241339444
192,15266.190875613236
195,15266.363289339444
199,15266.363289339444
202,15266.491608339444
206,15266.491608339444
207,15266.491608339444
208,15266.491608339444
210,15266.491608339444
211,15266.491608339444
212,15266.491608339444
213,15266.491608339444
214,15266.491608339444
219,15314.257992700877
221,15314.386311700879
222,15314.386311700879
223,15314.386311700879
224,15314.386311700879
225,15314.386311700879
229,15314.386311700879
230,15314.386311700879
236,15314.257992700877
240,15314.386311700879
241,15314.386311700879
244,15317.933359700877
248,15258.71861499404
253,15258.59029599404
257,15317.933359700879
262,15317.933359700877
263,15317.933359700879
264,15317.933359700879
265,15317.933359700879
266,15317.933359700879
267,15317.933359700879
268,15317.933359700879
269,15317.933359700879
270,15317.933359700879
271,15317.933359700879
272,15317.933359700879
273,15318.061678700878
274,15318.061678700878
275,15318.061678700878
276,15318.061678700878
