search_time (s),config time (ms)
0,122575.48001327734
1,51885.40844283008
2,31529.886003319334
3,15773.785113659675
4,14105.08207135376
5,13203.48252862395
6,13203.48252862395
7,13203.48252862395
8,13203.48252862395
9,13203.48252862395
10,13203.48252862395
11,13203.48252862395
12,13791.379033043488
13,13791.379033043488
14,13791.379033043488
15,13791.379033043488
16,13791.379033043488
17,14105.08207135376
18,14105.08207135376
19,14105.08207135376
20,14105.08207135376
21,14105.08207135376
22,15773.785113659675
23,15773.785113659675
24,15773.785113659675
25,15773.785113659675
26,15773.785113659675
27,31529.886003319334
28,31529.886003319334
29,31529.886003319334
30,31529.886003319334
31,31529.886003319334
32,51885.40844283008
33,51885.40844283008
34,51885.40844283008
35,51885.40844283008
36,51885.40844283008
37,122575.48001327734
38,122575.48001327734
39,122575.48001327734
40,122575.48001327734
41,122575.48001327734
