search_time (s),config time (ms)
0,27431.39708902696
1,18360.77321902696
2,17290.13440188547
3,16352.956572317753
4,15511.86428422765
5,15511.86428422765
6,16789.802381998226
7,24751.183391998227
8,15511.86428422765
9,15511.86428422765
10,15511.86428422765
11,15511.86428422765
12,15511.86428422765
13,15511.86428422765
14,15511.86428422765
15,15511.86428422765
16,15511.86428422765
17,15511.86428422765
18,16352.956572317753
19,16352.956572317753
20,16352.956572317753
21,16352.956572317753
22,16352.956572317753
23,16352.956572317753
24,16352.956572317753
25,16352.956572317753
26,16352.956572317753
27,16352.956572317753
28,16631.17858665929
29,16631.17858665929
30,16631.17858665929
31,16631.17858665929
32,16631.17858665929
33,16631.17858665929
34,16631.17858665929
35,16631.17858665929
36,16631.17858665929
37,16631.17858665929
38,16789.802381998226
39,16789.802381998226
40,16789.802381998226
41,16789.802381998226
42,16789.802381998226
43,17006.274211934582
44,17006.274211934582
45,17006.274211934582
46,17006.274211934582
47,17006.274211934582
48,17290.13440188547
49,17290.13440188547
50,17290.13440188547
51,17290.13440188547
52,17290.13440188547
53,17942.325829628622
54,17942.325829628622
55,17942.325829628622
56,17942.325829628622
57,17942.325829628622
58,17942.325829628622
59,17942.325829628622
60,17942.325829628622
61,17942.325829628622
62,18360.77321902696
63,18360.77321902696
64,18360.77321902696
65,18360.77321902696
66,18360.77321902696
67,18857.061626998227
68,17425.29554422765
69,17425.29554422765
70,17425.29554422765
71,17425.29554422765
72,17425.29554422765
73,18316.984050317762
74,18316.984050317762
75,18316.984050317762
76,18316.984050317762
77,16789.802381998226
78,16789.802381998226
79,16789.802381998226
80,16789.802381998226
81,17006.274211934582
82,17006.274211934582
83,17006.274211934582
84,17290.13440188547
85,17290.13440188547
86,17290.13440188547
87,18360.77321902696
88,18360.77321902696
89,18360.77321902696
90,18608.989083659297
91,18608.989083659297
92,18608.989083659297
93,18857.061626998227
94,18857.061626998227
95,18857.061626998227
96,18857.061626998227
97,19190.370427934584
98,19190.370427934584
99,19190.370427934584
100,19190.370427934584
