search_time (s),config time (ms)
0,32681.022689623736
1,25934.053295623737
2,23936.853969200696
3,16785.479353149985
4,15266.491608339444
5,14963.87010005203
6,14934.794286187738
8,14934.794286187738
10,14934.794286187738
12,14934.794286187738
13,14934.794286187738
15,14963.87010005203
16,15132.35911472025
17,15132.35911472025
18,15132.35911472025
19,15132.608960339445
20,15132.608960339445
21,15132.608960339445
22,15132.608960339445
23,15132.608960339445
24,15132.608960339445
26,15258.59029599404
28,15258.59029599404
29,15258.71861499404
30,15258.71861499404
31,15258.59029599404
33,15258.59029599404
34,15258.968460613236
36,15258.968460613236
37,15258.968460613236
38,15262.26566299404
39,15262.26566299404
40,15262.26566299404
41,15262.26566299404
42,15262.26566299404
43,15262.26566299404
44,15262.26566299404
45,15262.39398199404
46,15262.438076720247
47,15262.515508613236
48,15262.515508613236
49,15262.39398199404
50,15262.566395720249
51,15262.566395720249
52,15262.566395720249
53,15262.566395720249
54,15262.566395720249
55,15262.566395720249
56,15262.566395720249
57,15262.566395720249
58,15262.566395720249
59,15262.643827613236
60,15262.643827613236
61,15262.816241339444
62,15262.816241339444
63,15262.816241339444
64,15262.816241339444
65,15262.816241339444
66,15262.816241339444
67,15266.190875613236
68,15266.363289339444
69,15266.363289339444
70,15266.491608339444
71,15266.491608339444
72,15266.491608339444
73,15266.491608339444
74,15266.491608339444
75,15266.491608339444
76,15266.491608339444
77,15266.491608339444
78,15266.491608339444
79,15314.257992700877
80,15314.386311700879
81,15314.386311700879
82,15314.386311700879
83,15314.386311700879
84,15314.386311700879
85,15314.386311700879
86,15314.386311700879
87,15314.257992700877
88,15314.386311700879
89,15314.386311700879
90,15258.71861499404
91,15258.59029599404
92,15317.933359700877
93,15317.933359700877
94,15314.257992700877
95,15317.933359700877
96,15317.933359700877
97,15317.933359700877
98,15314.257992700877
99,15314.257992700877
100,15317.933359700877
101,15317.933359700877
102,15317.933359700877
103,15317.933359700879
104,15317.933359700879
105,15317.933359700879
106,15318.061678700878
107,15318.061678700878
108,15318.061678700878
