search_time (s),config time (ms)
0,47907.813076260194
1,25807.294218571216
2,22437.128666571218
3,20465.063133700878
4,15754.218177149158
5,14613.273464336007
6,14452.858500464907
7,14377.461041173574
10,14377.461041173574
11,14479.706805654288
12,14487.790148654287
14,14546.184422820343
16,14551.07403501063
17,14551.07403501063
18,14636.772214997543
20,14637.072947723751
21,14795.983020642521
22,14806.465905499876
23,14939.104760173572
24,15337.92070386662
26,15333.995491247426
27,15419.411407173573
28,14633.225166997543
29,15476.490831251214
30,15344.893273247426
31,15571.249502336008
32,15631.935796990605
34,14546.184422820343
36,15419.411407173573
37,15563.476508990605
38,14561.28873633468
39,14561.28873633468
40,15655.218080749597
41,15652.738810723748
42,15556.80467233601
43,15752.109691313593
44,15865.99809465199
45,15871.488020915458
46,15871.488020915458
47,14907.745270651989
48,14907.745270651989
49,14907.745270651989
50,14797.334138499875
51,15877.34603415936
52,15459.275721251215
54,14939.104760173572
55,15564.027087336008
57,15899.718054173572
58,16010.464970367608
59,16010.464970367608
60,16010.464970367608
61,16010.464970367608
62,15442.060611251214
63,14998.80969543762
65,15531.99406846491
66,14998.80969543762
67,16135.5247277496
68,16135.5247277496
69,16135.5247277496
70,16189.066634322051
71,16234.665318706504
72,16234.665318706504
73,16234.665318706504
74,14561.28873633468
75,14561.28873633468
76,16237.241415700882
78,14787.899677642521
79,15419.411407173573
80,15419.411407173573
81,16295.896741866623
82,16303.119156866624
83,16336.93124267277
84,16336.93124267277
86,15556.254093990605
87,16381.982384159357
88,16381.982384159357
89,16381.982384159357
90,15858.951902642519
91,16521.06670843762
92,16547.30858446491
93,16547.543056251216
94,16564.758166251217
95,16564.758166251217
96,16565.02512265429
97,16579.142371990605
98,16579.142371990605
99,16302.869311247428
100,16302.869311247428
101,16302.869311247428
103,16135.5247277496
105,16288.424481247428
106,16288.424481247428
107,16597.024632442903
108,16597.024632442903
110,16594.13778033601
111,16292.349693866623
112,16292.349693866623
113,16292.349693866623
114,16594.13778033601
115,16601.00073216911
116,15618.041545336007
