search_time (s),config time (ms)
0,27966.335443411586
1,21219.366049411587
2,19736.6577976238
3,17453.4123856238
4,16654.01077927478
5,15321.96634254009
6,15314.494081920893
7,15314.365762920894
9,15314.193349194686
11,15314.193349194686
13,15310.517982194686
14,15310.517982194686
16,15310.517982194686
17,15310.517982194686
18,15314.494081920893
19,15310.517982194686
20,15310.517982194686
21,15314.494081920893
22,15314.494081920893
23,15314.193349194686
24,15314.193349194686
25,15314.193349194686
26,15314.494081920893
28,15310.517982194686
29,15310.517982194686
30,15314.494081920893
31,15314.74392754009
32,15314.74392754009
33,15314.74392754009
34,15314.74392754009
35,15314.74392754009
36,15314.74392754009
37,15314.74392754009
38,15318.041129920894
39,15318.041129920894
41,15314.74392754009
42,15366.185678901524
43,15366.185678901524
44,15314.74392754009
45,15366.185678901524
46,15366.185678901524
47,15314.365762920894
48,15314.365762920894
49,15314.74392754009
50,15314.74392754009
52,15369.861045901524
53,15370.033459627732
54,15369.861045901524
55,15369.861045901524
56,15369.861045901524
57,15370.161778627731
58,15370.161778627731
59,15370.161778627731
60,15314.74392754009
61,15314.74392754009
62,15314.74392754009
63,15314.74392754009
64,15314.74392754009
65,15314.74392754009
66,15314.74392754009
67,15314.74392754009
68,15366.185678901524
69,15366.185678901524
70,15366.185678901524
71,15369.861045901524
72,15369.861045901524
73,15369.861045901524
74,15370.161778627731
75,15370.161778627731
76,15370.161778627731
77,15373.408093901524
78,15370.033459627732
79,15373.408093901524
80,15370.033459627732
81,15373.408093901524
82,15373.708826627731
83,15373.708826627731
84,15370.033459627732
85,15373.708826627731
86,15314.74392754009
87,15314.494081920893
89,15314.365762920894
90,15314.365762920894
91,15314.74392754009
92,15370.033459627732
93,15314.74392754009
94,15370.161778627731
95,15370.161778627731
96,15373.708826627731
97,15373.708826627731
98,15373.708826627731
99,15373.708826627731
100,15373.708826627731
101,15373.708826627731
102,15373.708826627731
103,15373.708826627731
104,15373.708826627731
105,15373.408093901524
106,15373.708826627731
107,15373.708826627731
108,15377.255874627732
