stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,11376.05,14230.90,13442.90,788.00
stage-1,13183.31,13762.71,13282.77,479.94
stage-2,15065.81,14626.70,14146.77,479.94
stage-3,15210.00,11842.25,11362.32,479.94
stage-4,15065.81,10849.78,10369.84,479.94
stage-5,15210.00,8321.32,7841.39,479.94
stage-6,15065.81,7072.86,6592.92,479.94
stage-7,14765.42,5024.23,4544.30,479.94
