stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13815.42,16316.98,15300.98,1016.00
stage-1,14782.31,24132.62,23460.62,672.00
stage-2,13962.74,10670.94,9859.07,811.87
stage-3,14782.31,16898.77,16226.77,672.00
stage-4,13962.74,6893.41,6081.54,811.87
stage-5,14674.59,6988.40,6176.53,811.87
