search_time (s),config time (ms)
0,98870.31767358012
1,79072.33780258014
2,77185.45294734325
3,55000.33649370103
4,54303.35550949019
6,54301.71014112313
9,54300.63089421473
12,54292.322457123126
37,54292.322457123126
57,54293.96782549019
69,54288.34229712313
91,54288.34229712313
92,54301.71014112313
93,54301.71014112313
94,54301.71014112313
95,54301.71014112313
96,54301.71014112313
97,54301.71014112313
98,54301.71014112313
114,54302.2762625818
115,54302.2762625818
131,54302.2762625818
132,54302.2762625818
133,54302.2762625818
134,54302.2762625818
135,54302.2762625818
136,54302.2762625818
137,54302.2762625818
148,54303.35550949019
167,54293.96782549019
184,54293.96782549019
185,54303.35550949019
186,54303.35550949019
199,54303.35550949019
212,54303.35550949019
213,54303.35550949019
214,54303.35550949019
222,54303.35550949019
230,54913.696567834784
231,54913.696567834784
232,54913.696567834784
233,54913.696567834784
234,54931.07245422532
235,54931.07245422532
236,54985.0602029853
237,54994.447886985305
238,54994.447886985305
239,54995.47542570103
240,54995.47542570103
241,54995.47542570103
242,54995.47542570103
243,54995.47542570103
244,54996.093255352374
245,54996.093255352374
246,54996.093255352374
247,54996.093255352374
248,54996.093255352374
249,54996.093255352374
250,54996.093255352374
251,54996.093255352374
252,54996.093255352374
253,54996.093255352374
254,54996.093255352374
255,54996.093255352374
256,54996.093255352374
257,54998.669708909976
258,54998.669708909976
259,54998.669708909976
260,54998.669708909976
261,54998.669708909976
262,54999.38423324325
263,54999.38423324325
264,54999.38423324325
265,54999.38423324325
266,54999.38423324325
267,54999.38423324325
268,54999.38423324325
269,54999.38423324325
270,54999.38423324325
271,54999.621969367756
272,54999.621969367756
273,54999.621969367756
274,54999.621969367756
275,54999.621969367756
276,54999.621969367756
277,54999.621969367756
278,54999.621969367756
279,54999.621969367756
280,54999.621969367756
281,54999.621969367756
282,54999.621969367756
283,54999.621969367756
284,55000.33649370103
285,55000.33649370103
286,55000.33649370103
287,55000.33649370103
288,55000.33649370103
289,55000.33649370103
290,55000.33649370103
291,55000.33649370103
292,55000.33649370103
