search_time (s),config time (ms)
0,79096.0277735916
1,72279.4921489619
2,70930.11754423939
3,56002.09404865805
4,55099.29656654812
5,54495.995845585465
17,54495.995845585465
27,54495.995845585465
28,54495.995845585465
34,54495.995845585465
35,54495.995845585465
44,54497.641213952535
45,54497.641213952535
51,54497.641213952535
52,54497.641213952535
53,54497.641213952535
54,54497.641213952535
59,54497.641213952535
60,54497.641213952535
61,54497.641213952535
62,54497.641213952535
71,55099.29656654812
72,55099.29656654812
73,55099.29656654812
74,55099.29656654812
76,55099.29656654812
77,55099.29656654812
78,55099.29656654812
79,55099.29656654812
83,55100.01109088138
84,55100.01109088138
87,55100.01109088138
88,55100.01109088138
96,54497.641213952535
104,54497.641213952535
105,54497.641213952535
106,54497.641213952535
111,55188.73359144765
112,55188.73359144765
113,55188.73359144765
121,55188.73359144765
122,55188.73359144765
123,55188.73359144765
124,55188.73359144765
128,55190.37895981471
133,55612.63517717048
134,55612.63517717048
137,55612.63517717048
144,55678.19503364025
145,55678.19503364025
150,55678.19503364025
156,55678.19503364025
157,55678.19503364025
167,55678.19503364025
168,55678.19503364025
172,55678.19503364025
173,55678.19503364025
174,55678.19503364025
175,55678.19503364025
181,55669.88659654864
193,55669.88659654864
200,55669.88659654864
201,55679.27428054864
203,55679.27428054864
205,55679.27428054864
206,55679.27428054864
210,55669.88659654864
217,55669.88659654864
218,55679.27428054864
219,55679.27428054864
220,55679.27428054864
226,55679.27428054864
227,55679.27428054864
228,55679.27428054864
229,55679.27428054864
238,55699.58773230458
248,55699.58773230458
259,55699.58773230458
260,55699.58773230458
261,55699.58773230458
262,55707.89616939619
263,55707.89616939619
264,55707.89616939619
265,55707.89616939619
266,55707.89616939619
267,55707.89616939619
268,55707.89616939619
269,55707.89616939619
270,55707.89616939619
271,55708.97541630458
272,55708.97541630458
273,55708.97541630458
274,55708.97541630458
275,55708.97541630458
276,55708.97541630458
277,55708.97541630458
278,55708.97541630458
279,55708.97541630458
280,55708.97541630458
281,55708.97541630458
282,55708.97541630458
