search_time (s),config time (ms)
0,100381.18846925726
1,80817.33905325524
2,72656.89637905957
3,72656.89637905957
4,74454.33976661469
5,74644.79771805959
6,74644.79771805959
7,78483.44328386884
8,76649.8901042116
9,86155.1183240807
10,75206.15963147754
11,75206.15963147754
12,81920.70996347752
13,62127.639060192465
14,81932.86671713837
15,66657.06976584504
16,57168.83482782708
17,72656.89637905957
18,72656.89637905957
19,72656.89637905957
20,72656.89637905957
21,72656.89637905957
22,74454.33976661469
23,74454.33976661469
24,74454.33976661469
25,74454.33976661469
26,74454.33976661469
27,74454.33976661469
28,74454.33976661469
29,74454.33976661469
30,74454.33976661469
31,74454.33976661469
32,74644.79771805959
33,74644.79771805959
34,74644.79771805959
35,74644.79771805959
36,74644.79771805959
37,74644.79771805959
38,74644.79771805959
39,74644.79771805959
40,74644.79771805959
41,74644.79771805959
42,74644.79771805959
43,74644.79771805959
44,74644.79771805959
45,74644.79771805959
46,74644.79771805959
47,75201.81579013837
48,75201.81579013837
49,75201.81579013837
50,75201.81579013837
51,75201.81579013837
52,75201.81579013837
53,75201.81579013837
54,75201.81579013837
55,75201.81579013837
56,75201.81579013837
57,76124.32581686883
58,76124.32581686883
59,76124.32581686883
60,76124.32581686883
61,76124.32581686883
62,76649.8901042116
63,76649.8901042116
64,76649.8901042116
65,76649.8901042116
66,76649.8901042116
67,77073.20007405957
68,77073.20007405957
69,77073.20007405957
70,77073.20007405957
71,77073.20007405957
72,77559.98087313837
73,77559.98087313837
74,77559.98087313837
75,77559.98087313837
76,77559.98087313837
77,77918.07951184499
78,77918.07951184499
79,77918.07951184499
80,77918.07951184499
81,77918.07951184499
82,78483.44328386884
83,78483.44328386884
84,78483.44328386884
85,78483.44328386884
86,78483.44328386884
87,80714.36090269347
88,80714.36090269347
89,80714.36090269347
90,80714.36090269347
91,80714.36090269347
92,80817.33905325524
93,80817.33905325524
94,80817.33905325524
95,80817.33905325524
96,80817.33905325524
97,81033.5135102116
98,81033.5135102116
99,81033.5135102116
100,81033.5135102116
