search_time (s),config time (ms)
0,173372.44503068418
1,125075.35895614706
2,123939.51670023272
3,117007.38434423272
4,116883.2462381994
6,110475.2113860776
7,107499.63064212016
8,99695.76243773058
9,96295.22337173058
16,96120.68115925392
31,96120.68115925392
34,96295.22337173058
35,96295.22337173058
55,97193.19999912016
67,97193.19999912016
68,98128.90216991928
96,97193.19999912016
97,99695.76243773058
98,99695.76243773058
115,99695.76243773058
124,99695.76243773058
135,97193.19999912016
141,99695.76243773058
153,99658.2651742539
160,99658.2651742539
177,97193.19999912016
188,97151.94892704427
189,105013.03108208613
198,105025.22615291929
203,106585.52638173057
210,106585.52638173057
211,106585.52638173057
212,106585.52638173057
221,106585.52638173057
223,105025.22615291929
224,105025.22615291929
225,106585.52638173057
226,106585.52638173057
227,106585.52638173057
228,106585.52638173057
229,106585.52638173057
230,106585.52638173057
231,106592.08642073057
232,106592.08642073057
233,106592.08642073057
234,106592.08642073057
235,106592.08642073057
236,106592.08642073057
237,106592.08642073057
238,106595.9507831994
239,106595.9507831994
240,106595.9507831994
241,106595.9507831994
242,106602.5108221994
243,106602.5108221994
244,106602.5108221994
245,106639.36267708612
246,106643.13178708612
247,106644.94195708612
248,106644.94195708612
249,106644.94195708612
250,106649.64276008612
251,106655.14390740835
252,107373.99091927485
253,107499.63064212016
254,107499.63064212016
255,107499.63064212016
256,110475.2113860776
257,111060.62566760101
258,111244.72343533754
259,111244.72343533754
260,111244.72343533754
261,111696.32737208613
262,111696.32737208613
263,111696.32737208613
264,111696.32737208613
265,111696.32737208613
266,111696.32737208613
267,111696.32737208613
268,111696.32737208613
269,111696.32737208613
270,111696.32737208613
271,111702.88741108614
272,111768.81395944169
273,111768.81395944169
274,112113.47495998595
275,112573.1734449688
276,112573.1734449688
277,112959.09836747572
278,112964.59951479794
279,113303.4764500776
280,113481.85036473058
281,113481.85036473058
282,113488.41040373058
283,113488.41040373058
284,113488.41040373058
285,113488.41040373058
286,113492.2747661994
287,113497.97799773057
288,113497.97799773057
289,113497.97799773057
