search_time (s),config time (ms)
0,183307.71934415548
1,150857.27793015548
2,143208.13175685945
3,143000.97885353144
4,131048.14177353143
5,130168.92160120187
6,129736.9648359032
7,126456.65349621742
15,126456.65349621742
16,128511.86493390317
18,129182.26473927096
20,130013.12939923591
21,130013.12939923591
22,130013.12939923591
23,130016.1578862359
24,130016.1578862359
25,130088.82258136969
29,130092.3259993697
33,130154.71103072524
34,130154.71103072524
37,131170.88420939058
38,132661.59299516003
39,132661.59299516003
40,132663.83255595108
42,132861.40697148294
43,132861.40697148294
44,132861.40697148294
45,132923.64768436967
46,132923.64768436967
48,133938.84355890317
51,134025.642486
54,134770.43334526767
55,134770.43334526767
57,135019.29870820188
60,135145.02414439063
61,135145.02414439063
62,135145.02414439063
63,135238.5891492359
64,135238.5891492359
65,135238.5891492359
66,135238.5891492359
67,135430.82750431515
68,135451.51828020188
70,135085.3876209032
71,135095.9355449032
72,135501.62820820187
73,135751.79911227096
74,136423.1100253697
76,135062.1847249032
77,136692.74169223593
78,136692.74169223593
79,131401.11451653147
80,136703.13817323593
82,135918.11891599998
83,137414.25165727097
84,137605.98084080245
85,137736.44277653148
87,137599.95063253146
91,131251.36223826767
92,136761.5923699137
93,137599.95063253146
94,137790.56721050388
95,137791.93978650388
96,137791.93978650388
99,131338.1611653645
100,137803.37956785943
102,134991.8097619032
103,135450.3609492019
104,135450.3609492019
105,135450.3609492019
106,137857.8644963906
107,137862.7404903906
108,137630.78277853146
109,137869.21849385943
110,137869.21849385943
112,138027.8139745039
113,138090.0546873906
114,138092.72166485942
115,138587.31486731512
116,138587.31486731512
117,138649.2724819929
118,139201.72049248294
119,140291.66103017863
121,140421.15543390316
122,140772.03692899295
123,140782.85231120192
124,140782.85231120192
126,136763.6867145915
127,140500.67294126767
129,141104.65657927096
130,141162.47537999996
132,139201.72049248294
133,139201.72049248294
134,141418.42499040908
135,141532.34541031512
136,141532.34541031512
137,141532.34541031512
138,141532.34541031512
140,136691.36911623593
141,135748.74249127094
142,138096.08076439062
