op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1334.095,1028.204,0.016,16.000,108.000,16.037,43.963,340.000
dec-self-attention,1840.210,2458.096,16.000,16.000,16.000,60.036,39.964,180.000
dec-mlp,1703.405,2262.545,16.000,16.000,32.000,96.034,3.966,100.000
dec-post-process,5226.469,5615.950,16.000,-0.008,100.000,416.085,583.915,0.000
