data_size(MB),time(ms)
8,0.713
48,5.400
80,8.712
408,16.661
30,3.498
11,1.649
208,8.624
21,2.590
108,11.651
16,2.126
24,2.917
58,6.418
96,13.442
160,11.980
816,33.019
60,8.538
416,17.025
42,6.073
64,4.995
216,8.972
33,4.846
116,12.487
32,1.552
192,26.568
320,13.148
1632,65.602
120,16.735
832,33.590
84,11.791
128,13.791
432,17.688
66,9.393
232,9.598
640,31.001
3136,1000000000.000
384,18.562
1600,76.580
168,23.274
256,12.492
864,34.947
132,18.377
464,18.903
