data_size(MB),time(ms)
8,0.538
48,5.249
80,8.504
408,42.424
30,3.371
11,1.520
208,21.894
21,2.461
108,11.489
16,1.985
24,2.789
58,6.249
96,13.734
160,12.861
816,84.136
60,8.662
416,43.193
42,6.164
64,5.227
216,22.694
33,4.950
116,12.277
32,1.281
192,27.236
320,33.337
1632,167.734
120,17.115
832,85.763
84,11.987
128,13.601
432,44.923
66,9.502
232,24.385
640,89.151
3136,321.598
384,53.810
1600,220.819
168,24.033
256,36.260
864,89.143
132,18.908
464,48.136
