data_size(MB),time(ms)
8,0.922
48,4.724
80,7.445
408,38.681
30,3.172
11,1.911
208,20.030
21,2.402
108,10.146
16,1.997
24,2.690
58,5.594
96,8.872
160,15.272
816,1000000000.000
60,5.718
416,39.528
42,4.205
64,6.046
216,20.940
33,3.508
116,10.751
32,2.706
192,18.452
320,30.499
1632,1000000000.000
120,11.164
832,1000000000.000
84,7.810
128,12.059
432,40.959
66,6.270
232,22.322
640,1000000000.000
3136,1000000000.000
384,36.273
1600,1000000000.000
168,15.966
256,24.471
864,1000000000.000
132,12.338
464,43.879
