data_size(MB),time(ms)
8,0.736
48,3.893
80,6.131
408,31.212
30,2.608
11,1.156
208,16.136
21,1.876
108,8.225
16,1.533
24,2.089
58,4.553
96,7.279
160,12.401
816,62.778
60,4.705
416,31.819
42,3.400
64,4.947
216,16.711
33,2.813
116,8.900
32,2.256
192,14.794
320,24.586
1632,1000000000.000
120,9.187
832,63.968
84,6.392
128,9.812
432,33.856
66,5.110
232,18.162
640,49.624
3136,1000000000.000
384,29.536
1600,1000000000.000
168,12.983
256,19.918
864,66.159
132,10.111
464,35.499
