data_size(MB),time(ms)
10,1.017
60,5.718
100,9.275
410,38.696
38,3.878
5,1.062
210,20.065
27,2.955
40,3.974
110,10.317
21,2.402
13,1.644
20,1.918
120,11.164
200,19.059
820,1000000000.000
76,7.082
420,39.843
54,5.256
80,7.445
220,21.254
43,4.285
240,23.027
400,37.598
1640,1000000000.000
152,14.279
840,1000000000.000
108,10.146
160,15.272
440,41.697
86,7.922
480,45.301
800,1000000000.000
3080,1000000000.000
304,28.886
1680,1000000000.000
216,20.940
263,25.159
880,1000000000.000
172,16.274
