data_size(MB),time(ms)
8,0.892
48,4.416
80,6.930
408,30.869
30,3.006
11,1.665
208,16.051
21,2.347
108,8.496
16,2.005
24,2.578
58,4.867
96,8.167
160,12.917
816,1000000000.000
60,5.305
416,27.397
42,3.883
64,5.600
216,14.600
33,3.215
116,8.044
32,1.172
192,15.504
320,25.601
1632,1000000000.000
120,9.963
832,1000000000.000
84,7.043
128,11.022
432,24.762
66,5.663
232,13.676
640,1000000000.000
3136,1000000000.000
384,30.676
1600,1000000000.000
168,13.689
256,20.716
864,1000000000.000
132,11.077
464,34.954
