data_size(MB),time(ms)
10,0.602
60,2.324
100,3.360
410,12.285
38,1.502
5,0.576
210,6.526
27,1.062
40,1.512
110,3.572
21,1.040
13,0.709
20,0.900
120,4.016
200,6.163
820,24.237
76,2.639
420,12.533
54,1.911
80,2.687
220,6.784
43,1.813
240,7.279
400,11.859
1640,47.720
152,4.773
840,24.750
108,3.676
160,4.983
440,13.059
86,2.853
480,14.270
800,23.446
3080,89.065
304,9.169
1680,48.807
216,6.621
263,8.073
880,25.821
172,5.423
