op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,4763.794,1574.993,0.062,64.000,108.000,64.142,195.858,340.000
dec-self-attention,6592.798,9581.518,64.000,64.000,16.000,240.129,0.000,480.000
dec-mlp,6357.145,8838.034,64.000,64.000,32.000,384.128,0.000,400.000
dec-post-process,19127.131,21761.990,64.000,-0.031,100.000,1664.332,2275.668,0.000
