op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1352.167,990.391,0.016,16.000,108.000,16.037,63.963,380.000
dec-self-attention,1818.275,2235.031,16.000,16.000,16.000,60.036,39.964,160.000
dec-mlp,1686.478,2038.479,16.000,16.000,32.000,96.034,0.000,100.000
dec-post-process,5180.025,4942.799,16.000,-0.008,100.000,416.085,643.915,0.000
