op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,865.746,432.777,0.008,8.000,58.000,8.019,11.981,180.000
dec-self-attention,1307.821,1168.680,8.000,8.000,8.000,21.020,38.980,100.000
dec-mlp,840.282,843.620,8.000,8.000,16.000,11.985,0.000,40.000
dec-post-process,2254.438,1784.468,8.000,-0.004,50.000,108.044,131.956,0.000
