op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,362.968,1713.037,0.016,16.000,208.000,16.000,64.000,640.000
dec-self-attention,1331.854,3061.628,16.000,16.000,32.000,96.036,83.964,240.000
dec-mlp,1304.817,2506.447,16.000,16.000,64.000,160.034,0.000,140.000
dec-post-process,9626.198,10457.993,16.000,-0.008,200.000,816.085,1243.915,0.000
