data_size(MB),time(ms)
8,0.520
48,3.255
80,6.747
408,33.052
30,2.208
208,17.101
21,1.642
32,2.899
108,8.990
16,1.346
24,2.246
58,4.971
96,8.261
160,13.291
816,50.237
60,5.272
416,25.999
42,3.806
64,5.548
216,13.665
33,3.072
116,7.465
192,16.275
320,26.086
1632,99.714
120,10.237
832,51.232
84,7.213
128,10.616
432,26.938
66,5.720
232,14.671
384,32.190
640,52.947
3136,255.525
240,20.231
1664,101.779
168,14.277
256,21.527
864,53.152
132,11.256
152,12.914
464,28.923
