data_size(MB),time(ms)
10,0.530
60,4.028
100,8.391
410,33.226
38,2.698
210,17.238
27,2.024
40,3.605
110,9.218
21,1.662
13,1.480
20,0.737
120,10.326
200,16.494
820,50.622
76,6.651
420,26.285
54,4.801
80,6.768
220,14.006
43,3.932
240,20.382
400,32.611
1640,100.489
152,13.007
840,51.956
108,9.301
160,13.301
440,27.706
86,7.520
480,40.038
800,65.868
3080,252.549
304,25.559
398,33.394
1680,102.716
216,18.229
263,22.157
880,54.175
172,14.614
