op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1045.942,468.540,0.016,20.000,41.250,20.037,19.963,180.000
dec-self-attention,1446.867,1593.351,20.000,20.000,6.250,43.036,36.964,80.000
dec-mlp,934.076,1149.559,20.000,20.000,12.500,60.034,0.000,60.000
dec-post-process,1797.724,2463.055,20.000,-0.008,31.250,120.085,99.915,0.000
