op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1523.256,709.724,0.031,40.000,41.250,40.072,119.928,220.000
dec-self-attention,1733.208,2745.962,40.000,40.000,6.250,86.067,0.000,140.000
dec-mlp,1590.300,1984.978,40.000,40.000,12.500,120.065,0.000,160.000
dec-post-process,3141.594,4282.379,40.000,-0.016,31.250,240.167,219.833,0.000
