data_size(MB),time(ms)
10,0.579
60,2.317
100,3.434
410,12.215
38,1.405
210,6.426
27,1.110
40,1.451
110,3.571
21,0.888
13,0.660
20,0.853
120,3.925
200,6.116
820,24.225
76,2.956
420,12.511
54,2.013
80,2.723
220,6.740
43,1.602
240,7.272
400,11.847
1640,47.654
152,5.016
840,24.806
108,4.066
160,5.006
440,13.085
86,2.968
480,14.288
800,23.742
3080,89.297
304,9.236
398,11.890
1680,49.130
216,6.640
263,8.137
880,26.227
172,5.936
