op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,380.707,2064.800,0.016,20.000,260.000,20.000,40.000,860.000
dec-self-attention,1911.736,6140.947,20.000,20.000,50.000,120.036,79.964,240.000
dec-mlp,2077.627,3807.449,20.000,20.000,100.000,200.034,0.000,160.000
dec-post-process,10451.508,12004.042,20.000,-0.008,250.000,820.085,1239.915,0.000
