data_size(MB),time(ms)
10,0.942
60,4.729
100,7.878
410,31.467
38,3.150
210,16.365
27,2.538
40,3.239
110,8.423
21,1.914
13,1.312
20,1.502
120,9.372
200,16.301
820,62.631
76,5.890
420,32.900
54,4.256
80,6.121
220,17.578
43,3.455
240,18.735
400,30.874
1640,1000000000.000
152,11.643
840,64.884
108,8.194
160,12.323
440,33.799
86,6.541
480,36.718
800,61.907
3080,1000000000.000
304,23.392
398,30.296
1680,1000000000.000
216,16.720
263,20.681
880,66.899
172,13.331
