data_size(MB),time(ms)
10,0.939
60,5.305
100,8.352
410,30.883
38,3.615
210,16.191
27,2.735
40,3.850
110,8.649
21,2.365
13,1.742
20,1.057
120,10.102
200,16.288
820,1000000000.000
76,6.541
420,27.649
54,4.881
80,6.680
220,14.917
43,3.982
240,19.406
400,31.738
1640,1000000000.000
152,12.526
840,1000000000.000
108,9.006
160,13.577
440,25.332
86,7.219
480,38.069
800,1000000000.000
3080,1000000000.000
304,24.450
398,31.689
1680,1000000000.000
216,17.598
263,21.258
880,1000000000.000
172,13.952
