data_size(MB),time(ms)
10,0.570
60,1.295
100,1.950
410,6.731
38,0.972
210,3.735
27,0.808
40,0.998
110,2.163
21,0.783
13,0.655
20,0.684
120,2.357
200,3.600
820,12.669
76,1.524
420,6.837
54,1.152
80,1.567
220,3.876
43,1.026
240,4.246
400,6.619
1640,24.518
152,2.850
840,13.083
108,2.133
160,2.989
440,7.231
86,1.674
480,7.758
800,12.260
3080,45.507
304,5.103
398,6.537
1680,24.980
216,3.892
263,4.512
880,13.433
172,3.197
