op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,1559.114,1249.599,0.016,20.000,135.000,20.037,19.963,480.000
dec-self-attention,2328.444,3895.426,20.000,20.000,25.000,76.036,43.964,160.000
dec-mlp,2338.314,3168.392,20.000,20.000,50.000,120.034,0.000,120.000
dec-post-process,5647.945,6754.255,20.000,-0.008,125.000,420.085,559.915,0.000
