stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28674.73,34125.45,32885.45,1240.00
stage-1,29399.08,32854.49,31604.49,1250.00
stage-2,28946.61,28383.36,27083.36,1300.00
stage-3,29399.08,22052.25,20802.25,1250.00
stage-4,28516.44,12940.84,11920.97,1019.87
