stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28495.09,34105.45,32885.45,1220.00
stage-1,29461.79,32854.49,31604.49,1250.00
stage-2,29008.31,28383.36,27083.36,1300.00
stage-3,29461.79,22052.25,20802.25,1250.00
stage-4,28491.47,13020.85,11920.97,1099.87
