stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,29253.07,35194.62,33684.62,1510.00
stage-1,28787.53,28383.36,27083.36,1300.00
stage-2,29241.01,22052.25,20802.25,1250.00
stage-3,27617.32,17171.02,15921.02,1250.00
