stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28045.00,26183.85,25083.91,1099.93
stage-1,28020.51,21003.17,20403.17,600.00
stage-2,31712.92,20052.98,19402.98,650.00
stage-3,31663.59,22822.38,21522.38,1300.00
stage-4,31712.92,14371.78,13721.78,650.00
stage-5,28020.51,10601.06,10001.06,600.00
stage-6,28634.38,9210.50,8560.50,650.00
