stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,25405.30,24683.95,23683.95,1000.00
stage-1,28172.59,23603.70,23003.70,600.00
stage-2,28172.59,21003.17,20403.17,600.00
stage-3,28172.59,18402.64,17802.64,600.00
stage-4,30964.08,18302.37,17602.37,700.00
stage-5,31874.61,14371.78,13721.78,650.00
stage-6,30964.08,12301.19,11601.19,700.00
stage-7,32316.46,9900.56,9200.56,700.00
