stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,25860.75,33705.77,32485.77,1220.00
stage-1,31066.27,41155.94,39805.94,1350.00
stage-2,31066.27,35354.75,34004.75,1350.00
stage-3,28903.28,21502.96,20403.08,1099.87
stage-4,28903.28,16301.93,15202.06,1099.87
stage-5,28705.67,13020.85,11920.97,1099.87
