stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,28095.21,26083.91,25083.91,1000.00
stage-1,31773.03,22893.57,22243.57,650.00
stage-2,30862.50,21302.97,20602.97,700.00
stage-3,31773.03,17212.38,16562.38,650.00
stage-4,30862.50,15301.78,14601.78,700.00
stage-5,25279.51,8940.86,8400.93,539.93
stage-6,29884.77,14210.54,12960.54,1250.00
