search_time (s),config time (ms)
0,33430.81004395227
1,24306.648614553935
2,21424.110321692366
3,17217.818771692368
4,16683.639003455188
5,15373.062812684611
6,15060.200288676782
7,15035.170696466654
17,15035.170696466654
23,15035.170696466654
24,15035.170696466654
29,15035.170696466654
30,15035.170696466654
35,15060.200288676782
42,15060.200288676782
43,15060.200288676782
51,15233.604378866932
52,15233.604378866932
60,15234.273574684612
66,15234.273574684612
67,15234.273574684612
71,15365.422008409152
79,15365.422008409152
80,15365.474317409153
86,15366.14351322683
87,15366.14351322683
91,15366.14351322683
95,15366.14351322683
96,15366.14351322683
99,15366.14351322683
107,15368.626555866933
108,15368.626555866933
115,15368.678864866932
122,15368.678864866932
125,15368.678864866932
126,15368.678864866932
131,15368.678864866932
132,15368.678864866932
133,15368.678864866932
134,15368.678864866932
135,15368.678864866932
141,15369.136760409152
148,15369.136760409152
149,15369.136760409152
153,15369.136760409152
154,15369.136760409152
155,15369.136760409152
156,15369.136760409152
159,15369.136760409152
161,15369.136760409152
165,15369.189069409153
168,15369.189069409153
169,15369.189069409153
170,15369.189069409153
174,15366.14351322683
180,15369.348060684611
181,15369.348060684611
185,15369.348060684611
191,15369.348060684611
192,15369.348060684611
197,15369.400369684612
199,15369.805956226832
201,15369.805956226832
203,15369.858265226832
204,15369.858265226832
207,15369.858265226832
210,15373.01050368461
212,15373.01050368461
213,15373.01050368461
216,15373.062812684611
218,15373.062812684611
221,15373.062812684611
222,15373.062812684611
223,15373.062812684611
227,15373.520708226832
228,15373.520708226832
229,15373.520708226832
232,15373.520708226832
236,15369.805956226832
241,15412.220131012786
245,15412.220131012786
248,15412.220131012786
249,15412.272440012786
252,15412.272440012786
256,15412.272440012786
257,15412.272440012786
259,15412.272440012786
260,15412.272440012786
261,15415.424678470567
262,15415.424678470567
263,15415.476987470565
264,15415.476987470565
265,15415.476987470565
266,15415.476987470565
267,15415.476987470565
268,15415.476987470565
269,15415.934883012786
270,15415.934883012786
271,15415.934883012786
272,15415.934883012786
273,15415.934883012786
