search_time (s),config time (ms)
0,61697.863751802906
1,33125.10044024271
2,17693.078551462644
3,15431.718025613085
4,14389.715283613084
5,13798.452234214688
6,13798.452234214688
7,14780.114517214688
8,14272.591242214687
9,32639.351588991765
10,13798.452234214688
11,13798.452234214688
12,13798.452234214688
13,13798.452234214688
14,13798.452234214688
15,14272.591242214687
16,14272.591242214687
17,14272.591242214687
18,14272.591242214687
19,14272.591242214687
20,14389.715283613084
21,14389.715283613084
22,14389.715283613084
23,14389.715283613084
24,14389.715283613084
25,14493.633277861596
26,14493.633277861596
27,14493.633277861596
28,14493.633277861596
29,14493.633277861596
30,14780.114517214688
31,14780.114517214688
32,14780.114517214688
33,14780.114517214688
34,14780.114517214688
35,14873.745811613086
36,14873.745811613086
37,14873.745811613086
38,14873.745811613086
39,14873.745811613086
40,14973.536744861598
41,14973.536744861598
42,14973.536744861598
43,14973.536744861598
44,14973.536744861598
45,15431.718025613085
46,15431.718025613085
47,15431.718025613085
48,15431.718025613085
49,15431.718025613085
50,15510.912444861597
51,15510.912444861597
52,15510.912444861597
53,15510.912444861597
54,15510.912444861597
55,16725.45941825522
56,16725.45941825522
57,16725.45941825522
58,16725.45941825522
59,16725.45941825522
60,16975.360906462647
61,16975.360906462647
62,16975.360906462647
63,16975.360906462647
64,16975.360906462647
65,17693.078551462644
66,17693.078551462644
67,17693.078551462644
68,17693.078551462644
69,17693.078551462644
70,32639.351588991765
71,32639.351588991765
72,32639.351588991765
73,32639.351588991765
74,32639.351588991765
75,32639.351588991765
76,32639.351588991765
77,32639.351588991765
78,32639.351588991765
79,32639.351588991765
80,33125.10044024271
81,33125.10044024271
82,33125.10044024271
83,33125.10044024271
84,33125.10044024271
85,33839.493342991766
86,33839.493342991766
87,33839.493342991766
88,33839.493342991766
89,33839.493342991766
90,61697.863751802906
91,61697.863751802906
92,61697.863751802906
93,61697.863751802906
94,61697.863751802906
95,63477.60975546487
96,63477.60975546487
97,63477.60975546487
98,63477.60975546487
99,63477.60975546487
100,65104.09586946489
