stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,50393.42,34210.24,32258.24,1952.00
stage-1,52990.21,41761.79,38561.79,3200.00
stage-2,50423.12,22145.06,20609.06,1536.00
stage-3,53161.29,62176.65,55760.65,6416.00
