stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,51168.78,50852.47,48900.47,1952.00
stage-1,51101.10,42947.70,41411.70,1536.00
stage-2,51101.10,38787.17,37251.17,1536.00
stage-3,51101.10,34626.64,33090.64,1536.00
stage-4,51101.10,30466.11,28930.11,1536.00
stage-5,55956.96,28609.79,26945.79,1664.00
stage-6,58143.87,25729.19,23937.19,1792.00
stage-7,52308.49,18768.56,17216.56,1552.00
