stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,50701.52,43777.73,40289.73,3488.00
stage-1,52797.57,37441.19,34241.19,3200.00
stage-2,52968.65,62176.65,55760.65,6416.00
