stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,50361.53,34210.24,32258.24,1952.00
stage-1,52636.57,41761.79,38561.79,3200.00
stage-2,50293.85,22145.06,20609.06,1536.00
stage-3,53195.57,62176.65,55760.65,6416.00
