stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,50756.67,42531.35,40579.35,1952.00
stage-1,53031.71,50402.98,47202.98,3200.00
stage-2,54150.83,47746.38,44418.38,3328.00
stage-3,50688.99,26305.58,24769.58,1536.00
stage-4,50688.99,22145.06,20609.06,1536.00
stage-5,51896.39,18768.56,17216.56,1552.00
