stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,50790.11,42531.35,40579.35,1952.00
stage-1,53386.89,50402.98,47202.98,3200.00
stage-2,50819.81,30466.11,28930.11,1536.00
stage-3,54496.00,43297.78,39969.78,3328.00
stage-4,50819.81,22145.06,20609.06,1536.00
stage-5,51788.84,18768.56,17216.56,1552.00
