stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13874.17,20563.56,19715.56,848.00
stage-1,13783.57,16034.57,15394.57,640.00
stage-2,13850.87,12065.72,11457.72,608.00
stage-3,14501.76,9864.76,9216.76,648.00
