stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,14004.04,23785.00,22789.00,996.00
stage-1,15035.17,24132.62,23460.62,672.00
stage-2,15035.17,20515.70,19843.70,672.00
stage-3,14199.47,12550.18,11714.31,835.87
stage-4,14199.47,9413.41,8577.54,835.87
stage-5,14782.55,7428.40,6592.53,835.87
