stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13879.12,20648.17,19652.17,996.00
stage-1,14910.25,20515.70,19843.70,672.00
stage-2,14910.25,16898.77,16226.77,672.00
stage-3,13954.45,12065.72,11457.72,608.00
stage-4,12456.12,6512.28,5952.40,559.87
