stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,11549.68,14290.90,13442.90,848.00
stage-1,13422.02,13770.71,13282.77,487.93
stage-2,15341.15,14634.70,14146.77,487.93
stage-3,15476.28,11850.25,11362.31,487.93
stage-4,15341.15,10857.78,10369.84,487.93
stage-5,15476.28,8329.32,7841.39,487.93
stage-6,15341.15,7080.86,6592.92,487.93
stage-7,14864.06,5032.23,4544.30,487.93
