stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,13411.78,15794.99,14946.99,848.00
stage-1,15419.25,13610.71,13122.78,487.93
stage-2,15284.12,12746.24,12258.31,487.93
stage-3,15419.25,10089.78,9601.85,487.93
stage-4,13364.99,7497.12,7009.19,487.93
stage-5,13364.99,5928.73,5440.79,487.93
stage-6,15161.47,7848.40,7200.40,648.00
