op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,388.718,3604.555,0.031,64.000,416.000,64.000,196.000,1520.000
dec-self-attention,6014.967,13027.620,64.000,64.000,128.000,384.067,75.933,760.000
dec-mlp,9224.415,18394.279,64.000,64.000,256.000,640.065,0.000,500.000
dec-post-process,25003.386,30122.375,64.000,0.000,400.000,1664.167,2335.833,0.000
