op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
dec-embedding,3908.443,2297.974,0.062,128.000,66.000,128.142,391.858,480.000
dec-self-attention,4847.479,5639.505,128.000,128.000,16.000,292.129,147.871,380.000
dec-mlp,5350.208,6643.152,128.000,128.000,32.000,320.074,19.926,480.000
dec-post-process,7515.287,8015.919,128.000,0.000,50.000,528.332,431.668,0.000
