data_size(MB),time(ms)
16,0.878
96,3.164
160,5.012
416,13.227
62,2.198
216,6.746
45,1.700
64,2.192
116,3.873
36,1.380
48,1.692
66,2.631
32,1.203
192,5.888
320,9.585
832,24.428
124,3.993
432,12.878
90,3.016
128,4.096
232,7.181
73,2.852
132,4.217
384,11.489
640,18.765
1664,48.881
248,7.600
864,25.557
180,5.766
256,7.795
464,13.833
146,5.268
264,8.124
768,22.512
1280,37.842
3328,97.001
496,15.834
608,17.936
1728,51.223
360,11.491
928,27.314
292,9.131
528,17.217
