data_size(MB),time(ms)
8,0.724
48,3.964
80,6.191
408,31.187
30,2.515
208,16.210
21,1.941
11,1.227
108,8.362
16,1.516
24,2.092
58,4.575
96,7.295
160,12.326
816,62.145
60,4.724
416,31.891
42,3.399
64,4.947
216,16.676
33,2.803
116,8.876
32,2.687
192,15.044
320,25.035
1632,1000000000.000
120,9.209
832,63.643
84,6.396
128,9.832
400,30.650
66,5.096
232,18.096
384,30.053
640,49.895
3136,1000000000.000
240,18.514
1664,1000000000.000
52,4.155
256,20.163
132,10.138
464,35.559
