data_size(MB),time(ms)
8,0.734
48,3.224
80,6.355
408,26.736
30,2.213
208,13.846
21,1.745
11,1.390
108,8.460
16,1.454
24,2.248
58,4.713
96,7.894
160,11.844
816,46.661
60,5.059
416,23.996
42,3.658
64,4.978
216,12.796
33,2.972
116,7.299
32,2.844
192,14.707
320,21.066
1632,1000000000.000
120,9.395
832,47.488
84,6.692
128,9.891
400,27.924
66,5.351
232,13.578
384,26.675
640,44.338
3136,1000000000.000
240,16.845
1664,1000000000.000
52,4.243
256,17.950
132,10.254
464,26.653
